x, y
0.003699883084848108, 4.2154138691627457e-13
0.010439579572335657, 4.366435002667439e-14
0.01717927605982321, 2.511885981806297e-14
0.02427224208634213, 1.4450166283800207e-14
0.030835320826070718, 1.0729353628171651e-14
0.038197877435570224, 8.312770051741083e-15
0.04476095617529881, 6.440458834487147e-15
0.051946895037039344, 5.432903644300843e-15
0.05941168431741783, 4.392135233067247e-15
0.06642097138788595, 4.4570216275494696e-15
0.07405311858036603, 3.86599443243103e-15
0.08133199623381475, 3.039502255673372e-15
0.08789507497354333, 2.7916404587508376e-15
0.09471845041708167, 2.256852545102235e-15
0.10145818094808268, 2.320628597384376e-15
0.1084674680185508, 2.1313886739515474e-15
0.11574634567199951, 2.7109493771432413e-15
0.12257901499470868, 1.7230789949000081e-15
0.12935592104239294, 1.2983031391931969e-15
