x, y
0.0032077393075356413, 1.673265877494117e-14
0.010997963340122199, 3.964489858056449e-15
0.018940936863543787, 2.78040948468547e-15
0.027189409368635436, 2.119746798024004e-15
0.03497963340122199, 1.7204796766124192e-15
0.04292260692464358, 1.3675766014630493e-15
0.050712830957230136, 1.133393361721401e-15
0.058961303462321785, 1e-15
0.06720977596741344, 9.009128458847298e-16
0.075, 7.623865512254924e-16
0.08294297352342159, 7.623865512254924e-16
0.09134419551934826, 7.161185015654162e-16
0.09913441955193482, 6.868438375288027e-16
0.10723014256619144, 6.060065822916234e-16
0.11593686354378818, 5.692289888270883e-16
0.12265784114052952, 5.812332534895004e-16
0.1310590631364562, 5.236405045240642e-16
0.1391547861507128, 4.717544571512904e-16
0.14663951120162932, 4.620112682932584e-16
