x, y
0.0035132382892057025, 4.339725256494582e-13
0.010997963340122199, 7.363248988466685e-14
0.019093686354378817, 4.370019588471943e-14
0.027189409368635436, 3.064819017598715e-14
0.03467413441955193, 2.3858520256442736e-14
0.04307535641547861, 2.061576218700087e-14
0.0510183299389002, 1.673265877494117e-14
0.05926680244399185, 1.3580961360485502e-14
0.06690427698574337, 1.3025776596716118e-14
0.075, 1.1255363272011208e-14
0.08340122199592667, 9.327999618166252e-15
0.09088594704684316, 8.76189788293924e-15
0.09882892057026475, 7.11154145872645e-15
0.10707739307535641, 7.261514189391789e-15
0.11517311608961302, 6.679953109163991e-15
0.12296334012219957, 6.274557182799642e-15
0.13136456211812625, 6.541991413797304e-15
0.13930753564154785, 6.1449681673577945e-15
0.1475560081466395, 4.9875262721117095e-15
