x, y
0.0023520068359375004, 3.749417263909326e-14
0.008969331054687502, 7.532210122904223e-15
0.01624, 4.574622337600047e-15
0.023221337890625002, 3.3394015088073203e-15
0.030286672363281253, 2.659820689868378e-15
0.037482658691406254, 2.095565991514312e-15
0.045061337890625004, 1.7058953044957248e-15
0.05189332763671876, 1.450567784894708e-15
0.058800000000000005, 1.2452764257451143e-15
0.06608000000000001, 1.1792272017031934e-15
0.0728466552734375, 1.070496068159816e-15
0.08005200683593751, 9.91857970078347e-16
0.08739732421875, 8.526460753535294e-16
0.09445334472656251, 8.619904473489605e-16
0.10122, 7.007480751380272e-16
0.10827598632812502, 6.501564807420317e-16
0.11548133789062501, 6.501564807420317e-16
0.12268665527343751, 5.704439067311609e-16
0.12981732421875, 4.850635041980525e-16
