x, y
0.0028167262590263944, 1.795313443296291e-13
0.00964010170256474, 3.488793278756229e-14
0.016900391597671812, 2.0366537324642328e-14
0.023156704237736556, 1.5572457504580792e-14
0.03169056197086653, 1.1889378631912634e-14
0.03822575907308267, 9.499645416516032e-15
0.04519787062686753, 7.759050994796513e-15
0.05216998218065239, 6.789643603680049e-15
0.05870517928286853, 6.199502556121006e-15
0.066244353640127, 5.2991265135699644e-15
0.07364408576630976, 4.845624697579343e-15
0.0799003984063745, 4.234004927395594e-15
0.08843425613950448, 3.787423515344947e-15
0.09412350597609562, 3.787423515344947e-15
0.10180212256442979, 3.1622804908843285e-15
0.10891367634929035, 3.1622804908843285e-15
0.11573705179282869, 2.9559778892377536e-15
0.12313678391901146, 2.644189200408634e-15
0.12996015936254982, 2.4716861245864358e-15
