x, y
0.0033604887983706717, 1.2406680237585335e-13
0.01130346232179226, 3.129451879508045e-14
0.01939918533604888, 1.9772997322576963e-14
0.027036659877800406, 1.3300472497258054e-14
0.03497963340122199, 1.0795248112749304e-14
0.04307535641547861, 9.725577699288695e-15
0.0510183299389002, 8.230151978302415e-15
0.05911405295315682, 7.261514189391789e-15
0.06690427698574337, 6.679953109163991e-15
0.07515274949083503, 5.893764102357595e-15
0.08324847250509164, 5.421743566615566e-15
0.09134419551934826, 4.9875262721117095e-15
0.09913441955193482, 4.493326487733017e-15
0.10631364562118126, 4.309640934228019e-15
0.115020366598778, 3.8826108787966905e-15
0.12281059063136456, 3.6469812855645496e-15
0.1315173116089613, 3.4978940162797235e-15
0.13930753564154785, 3.42565168451293e-15
0.14725050916496943, 3.151297652809733e-15
