x, y
0.0022773413085937504, 2.6453601672474957e-13
0.008838662109375001, 1.1905283818459707e-14
0.0160906689453125, 4.8111430267775235e-15
0.023174665527343753, 3.2807760369486994e-15
0.030781337890625003, 2.2371948812000727e-15
0.0372493310546875, 1.992545833981846e-15
0.044678662109375, 9.625697415363668e-16
0.05158533447265626, 7.552773707262508e-16
0.05866933105468751, 5.704446182944275e-16
0.0654920068359375, 4.957542577114944e-16
0.07353732421875, 4.421427696965077e-16
0.0800893310546875, 4.361588061155424e-16
0.08691200683593751, 2.2771769268742906e-16
0.09399598632812502, 3.214401501088718e-16
0.10134133789062501, 1.1136427322768296e-16
0.10824799316406251, 7.889354230432524e-17
0.11541598632812501, 2.0813413077025667e-16
0.12196799316406251, 1.3495126909531264e-16
0.1292293310546875, 1.762597541233497e-16
