x, y
0.003067729083665339, 2.960312640639133e-14
0.0100956039124751, 6.300320874342199e-15
0.01724436725753237, 3.986917542622092e-15
0.024262948207171314, 3.2564053887180585e-15
0.031030560375684763, 2.601876639896123e-15
0.038179289677228584, 2.0396440057082857e-15
0.04480742557115289, 1.751104966020386e-15
0.0516958922124004, 1.4599256659905042e-15
0.059495363273468625, 1.3586924890931844e-15
0.06586320246358317, 1.2153844814912435e-15
0.07288181745673555, 1.1097429269088795e-15
0.0800956039124751, 9.050820999898836e-16
0.08679812488327938, 9.144219708435761e-16
0.09465339326288597, 8.349424029481206e-16
0.10231342209287848, 7.381632160122094e-16
0.10785390177570967, 7.850629078902812e-16
0.11579281506785359, 7.168269482574386e-16
0.12274633886329682, 6.40278446415708e-16
0.13021116218718876, 6.40278446415708e-16
