x, y
0.00242667236328125, 1.5935532301589508e-13
0.009034665527343751, 2.185974617774807e-14
0.01631466552734375, 1.2134541735362769e-14
0.023258662109375, 8.129411347406507e-15
0.030370668945312502, 5.958655675043069e-15
0.037370668945312505, 4.857254884732043e-15
0.04448265869140625, 3.589463269116917e-15
0.051762658691406255, 3.2540679193606058e-15
0.058762658691406254, 2.588318278200846e-15
0.06581866210937501, 2.2159618261850054e-15
0.0729866552734375, 1.9284430219606717e-15
0.08037866210937501, 1.7198987717575892e-15
0.08754665527343751, 1.6782336783931369e-15
0.094304013671875, 1.3792581163036416e-15
0.10102401367187501, 1.210153880734894e-15
0.1079120068359375, 1.210153880734894e-15
0.114855986328125, 1.2003007716281463e-15
0.12280799316406252, 9.945662415606451e-16
0.12952799316406252, 8.445547265264389e-16
